geo_id,day,deaths_weekly
be,20200803,19
be,20200810,38
be,20200817,71
be,20200824,40
be,20200831,26
be,20200907,18
be,20200914,19
be,20200921,26
be,20200928,49
be,20201005,85
be,20201012,161
be,20201019,252
be,20201026,570
be,20201102,1147
be,20201109,1402
be,20201116,1336
be,20201123,1070
be,20201130,836
be,20201207,699
be,20201214,667
be,20201221,623
be,20201228,523
be,20210104,367
bf,20200316,0
bf,20200323,3
bf,20200330,6
bf,20200406,8
bf,20200413,10
bf,20200420,9
bf,20200427,6
bf,20200504,3
bf,20200511,4
bf,20200518,2
bf,20200525,1
bf,20200601,1
bf,20200608,0
bf,20200615,0
bf,20200622,0
bf,20200629,0
bf,20200706,0
bf,20200713,0
bf,20200720,0
bf,20200727,0
bf,20200803,0
bf,20200810,1
bf,20200817,1
bf,20200824,0
bf,20200831,0
bf,20200907,0
bf,20200914,1
bf,20200921,0
bf,20200928,0
bf,20201005,3
bf,20201012,4
bf,20201019,2
bf,20201026,0
bf,20201102,2
bf,20201109,0
bf,20201116,1
bf,20201123,0
bf,20201130,0
bf,20201207,0
bf,20201214,3
bf,20201221,5
bf,20201228,2
bf,20210104,8
bg,20200309,0
bg,20200316,2
bg,20200323,1
bg,20200330,5
bg,20200406,12
bg,20200413,9
bg,20200420,14
bg,20200427,13
bg,20200504,17
bg,20200511,18
bg,20200518,19
bg,20200525,20
bg,20200601,10
bg,20200608,20
bg,20200615,14
bg,20200622,25
bg,20200629,20
bg,20200706,27
bg,20200713,22
bg,20200720,32
bg,20200727,40
bg,20200803,48
bg,20200810,59
bg,20200817,51
bg,20200824,47
bg,20200831,68
bg,20200907,58
bg,20200914,49
bg,20200921,41
bg,20200928,35
bg,20201005,48
bg,20201012,48
bg,20201019,94
bg,20201026,108
bg,20201102,204
bg,20201109,367
bg,20201116,465
bg,20201123,750
bg,20201130,934
bg,20201207,983
bg,20201214,891
bg,20201221,921
bg,20201228,555
bg,20210104,514
bh,20200106,0
bh,20200113,0
bh,20200120,0
bh,20200127,0
bh,20200203,0
bh,20200210,0
bh,20200217,0
bh,20200224,0
bh,20200302,0
bh,20200309,0
bh,20200316,0
bh,20200323,2
bh,20200330,2
bh,20200406,0
bh,20200413,2
bh,20200420,1
bh,20200427,1
bh,20200504,0
bh,20200511,0
bh,20200518,4
bh,20200525,2
bh,20200601,5
bh,20200608,7
bh,20200615,17
bh,20200622,20
bh,20200629,20
bh,20200706,14
bh,20200713,12
bh,20200720,17
bh,20200727,14
bh,20200803,7
bh,20200810,15
bh,20200817,8
bh,20200824,14
bh,20200831,5
bh,20200907,9
bh,20200914,14
bh,20200921,9
bh,20200928,21
bh,20201005,18
bh,20201012,13
bh,20201019,27
bh,20201026,12
bh,20201102,9
bh,20201109,8
bh,20201116,6
bh,20201123,3
bh,20201130,3
bh,20201207,0
bh,20201214,7
bh,20201221,1
bh,20201228,2
bh,20210104,1
bi,20200406,0
bi,20200413,0
bi,20200420,1
bi,20200427,0
bi,20200504,0
bi,20200511,0
bi,20200518,0
bi,20200525,0
bi,20200601,0
bi,20200608,0
bi,20200615,0
bi,20200622,0
bi,20200629,0
bi,20200706,0
bi,20200713,0
bi,20200720,0
bi,20200727,0
bi,20200803,0
bi,20200810,0
bi,20200817,0
bi,20200824,0
bi,20200831,0
bi,20200907,0
bi,20200914,0
bi,20200921,0
