geo_id,day,notification_rate_per_100000_population_14_days
au,20201207,0.57
au,20201214,0.55
au,20201221,0.92
au,20201228,1.11
au,20210104,1.21
aw,20200330,
aw,20200406,60.2
aw,20200413,39.51
aw,20200420,31.04
aw,20200427,7.53
aw,20200504,2.82
aw,20200511,0.94
aw,20200518,0.94
aw,20200525,0
aw,20200601,0
aw,20200608,0
aw,20200615,0
aw,20200622,0
aw,20200629,0
aw,20200706,3.76
aw,20200713,3.76
aw,20200720,7.53
aw,20200727,13.17
aw,20200803,8.47
aw,20200810,417.65
aw,20200817,921.83
aw,20200824,945.35
aw,20200831,841.88
aw,20200907,828.71
aw,20200914,986.74
aw,20200921,1036.59
aw,20200928,750.63
aw,20201005,496.66
aw,20201012,329.23
aw,20201019,228.58
aw,20201026,212.59
aw,20201102,185.31
aw,20201109,169.32
aw,20201116,134.51
aw,20201123,123.22
aw,20201130,165.55
aw,20201207,220.11
aw,20201214,198.48
aw,20201221,198.48
aw,20201228,257.74
aw,20210104,364.97
az,20200106,
az,20200113,0
az,20200120,0
az,20200127,0
az,20200203,0
az,20200210,0
az,20200217,0
az,20200224,0
az,20200302,0.03
az,20200309,0.09
az,20200316,0.16
az,20200323,0.56
az,20200330,1.89
az,20200406,5.17
az,20200413,8.85
az,20200420,8.1
az,20200427,5.44
az,20200504,5.31
az,20200511,8.7
az,20200518,13.36
az,20200525,15.95
az,20200601,22.09
az,20200608,34.15
az,20200615,44.42
az,20200622,51.51
az,20200629,64.36
az,20200706,75.59
az,20200713,75.81
az,20200720,71.63
az,20200727,59.8
az,20200803,48.99
az,20200810,35.01
az,20200817,17.68
az,20200824,16.98
az,20200831,20.8
az,20200907,20.45
az,20200914,20.08
az,20200921,18.5
az,20200928,16.88
az,20201005,14.96
az,20201012,19.5
az,20201019,42.53
az,20201026,79.39
az,20201102,114.25
az,20201109,153.79
az,20201116,191.53
az,20201123,275.52
az,20201130,423.05
az,20201207,533.31
az,20201214,574.05
az,20201221,551.46
az,20201228,394.21
az,20210104,180.91
ba,20200316,
ba,20200323,3.79
ba,20200330,9.24
ba,20200406,16.3
ba,20200413,20.72
ba,20200420,18.36
ba,20200427,15.42
ba,20200504,17.81
ba,20200511,18.21
ba,20200518,13.09
ba,20200525,8.57
ba,20200601,6.66
ba,20200608,8.27
ba,20200615,14.9
ba,20200622,22.96
ba,20200629,36.78
ba,20200706,59.44
ba,20200713,80.85
ba,20200720,92.67
ba,20200727,96.49
ba,20200803,110.75
ba,20200810,128.93
ba,20200817,103.82
ba,20200824,108.3
ba,20200831,128.87
ba,20200907,98.21
ba,20200914,111.27
ba,20200921,129.72
ba,20200928,104.67
ba,20201005,77.28
ba,20201012,112.94
ba,20201019,186.16
ba,20201026,310.48
ba,20201102,526.66
ba,20201109,652.2
ba,20201116,587.55
ba,20201123,532.69
ba,20201130,499.06
ba,20201207,439.26
ba,20201214,416.33
ba,20201221,333.75
ba,20201228,259.74
ba,20210104,215.72
bb,20200323,
bb,20200330,11.5
bb,20200406,13.59
bb,20200413,13.24
bb,20200420,6.62
bb,20200427,2.79
bb,20200504,2.44
bb,20200511,1.74
bb,20200518,2.09
bb,20200525,2.79
bb,20200601,1.39
bb,20200608,0
bb,20200615,1.39
bb,20200622,1.74
bb,20200629,0.35
bb,20200706,0.35
bb,20200713,2.09
bb,20200720,2.44
bb,20200727,2.44
bb,20200803,9.41
bb,20200810,11.15
bb,20200817,6.62
bb,20200824,6.62
bb,20200831,7.66
bb,20200907,6.27
bb,20200914,2.79
bb,20200921,3.48
bb,20200928,3.14
bb,20201005,3.48
bb,20201012,6.27
bb,20201019,8.01
bb,20201026,6.62
bb,20201102,5.23
bb,20201109,5.23
bb,20201116,4.53
bb,20201123,5.92
bb,20201130,8.71
bb,20201207,9.76
bb,20201214,7.32
bb,20201221,12.19
bb,20201228,22.99
bb,20210104,98.95
bd,20200309,
bd,20200316,0.0
bd,20200323,0.01
bd,20200330,0.03
bd,20200406,0.04
bd,20200413,0.35
bd,20200420,1.45
bd,20200427,2.94
bd,20200504,4.29
bd,20200511,5.67
bd,20200518,7.86
bd,20200525,11.62
bd,20200601,15.26
bd,20200608,19.72
bd,20200615,24.76
bd,20200622,28.54
bd,20200629,30.83
bd,20200706,30.73
bd,20200713,28.22
bd,20200720,25.83
bd,20200727,24.32
bd,20200803,22.22
bd,20200810,20.94
bd,20200817,21.96
bd,20200824,22.69
bd,20200831,21.02
bd,20200907,18.74
bd,20200914,16.37
bd,20200921,14.57
bd,20200928,13.26
bd,20201005,12.13
bd,20201012,11.73
bd,20201019,12.19
bd,20201026,12.6
bd,20201102,12.69
bd,20201109,13.14
bd,20201116,14.16
bd,20201123,16.62
bd,20201130,18.45
bd,20201207,18.52
bd,20201214,17.25
bd,20201221,14.21
bd,20201228,11.42
bd,20210104,9.39
be,20200106,
be,20200113,0
be,20200120,0
be,20200127,0
be,20200203,0
be,20200210,0
be,20200217,0
be,20200224,0.01
be,20200302,0.17
be,20200309,3.54
be,20200316,18.53
be,20200323,55.42
be,20200330,114.83
be,20200406,160.88
be,20200413,171.69
be,20200420,161.32
be,20200427,121.2
be,20200504,71.51
be,20200511,51.22
be,20200518,41.63
be,20200525,29.85
be,20200601,20.92
be,20200608,15.97
be,20200615,14.02
be,20200622,11.61
be,20200629,10.96
be,20200706,10.59
be,20200713,12.55
be,20200720,21.13
be,20200727,37.06
be,20200803,57.61
be,20200810,73.13
be,20200817,69.87
be,20200824,60.56
be,20200831,56.75
be,20200907,61.87
be,20200914,95.18
be,20200921,153.2
be,20200928,195.89
be,20201005,289.86
be,20201012,564.5
be,20201019,1059.18
be,20201026,1638.12
be,20201102,1773.54
be,20201109,1242.22
be,20201116,697.61
be,20201123,450.28
be,20201130,314.17
be,20201207,269.55
be,20201214,283.88
be,20201221,300.19
be,20201228,254.09
be,20210104,174.14
bf,20200316,
bf,20200323,0.31
bf,20200330,0.87
bf,20200406,1.38
bf,20200413,1.56
bf,20200420,1.14
bf,20200427,0.66
bf,20200504,0.42
bf,20200511,0.59
bf,20200518,0.66
bf,20200525,0.4
bf,20200601,0.42
bf,20200608,0.28
bf,20200615,0.06
bf,20200622,0.07
bf,20200629,0.32
bf,20200706,0.41
bf,20200713,0.38
bf,20200720,0.38
bf,20200727,0.31
bf,20200803,0.42
bf,20200810,0.51
bf,20200817,0.58
bf,20200824,0.61
bf,20200831,0.5
bf,20200907,0.61
bf,20200914,1.67
bf,20200921,1.94
bf,20200928,1.48
bf,20201005,1.58
bf,20201012,1.34
bf,20201019,1.05
bf,20201026,0.84
bf,20201102,0.59
bf,20201109,0.58
bf,20201116,0.69
bf,20201123,0.82
bf,20201130,1.06
bf,20201207,2.35
bf,20201214,5.78
bf,20201221,9.59
bf,20201228,11.39
bf,20210104,9.31
bg,20200309,
bg,20200316,0.73
bg,20200323,2.59
bg,20200330,4.21
bg,20200406,4.94
bg,20200413,4.7
bg,20200420,5.49
bg,20200427,8.93
bg,20200504,10.04
bg,20200511,9.5
bg,20200518,8.81
bg,20200525,6.69
bg,20200601,3.97
bg,20200608,4.2
bg,20200615,11.1
bg,20200622,16.83
bg,20200629,20.01
bg,20200706,26.21
bg,20200713,36.59
bg,20200720,42.76
bg,20200727,45.36
bg,20200803,46.03
bg,20200810,42.41
bg,20200817,34.43
bg,20200824,27.01
bg,20200831,26.07
