geo_id,day,cases
af,20200611,684
af,20200612,747
af,20200613,656
af,20200614,556
af,20200615,664
af,20200616,761
af,20200617,783
af,20200618,564
af,20200619,658
af,20200620,346
af,20200621,546
af,20200622,409
af,20200623,310
af,20200624,338
af,20200625,234
af,20200626,460
af,20200627,276
af,20200628,165
af,20200629,351
af,20200630,271
af,20200701,279
af,20200702,319
af,20200703,186
af,20200704,302
af,20200705,348
af,20200706,279
af,20200707,433
af,20200708,210
af,20200709,59
af,20200710,255
af,20200711,458
af,20200712,85
af,20200713,0
af,20200714,4
af,20200715,285
af,20200716,254
af,20200717,76
af,20200718,219
af,20200719,12
af,20200720,174
af,20200721,140
af,20200722,112
af,20200723,188
af,20200724,13
af,20200725,108
af,20200726,121
af,20200727,106
af,20200728,105
af,20200729,103
af,20200730,0
af,20200731,71
af,20200801,168
af,20200802,0
af,20200803,0
af,20200804,37
af,20200805,82
af,20200806,67
af,20200807,41
af,20200808,78
af,20200809,39
af,20200810,0
af,20200811,0
af,20200812,215
af,20200813,76
af,20200814,79
af,20200815,7
af,20200816,120
af,20200817,45
af,20200818,3
af,20200819,0
af,20200820,160
af,20200821,97
af,20200822,38
af,20200823,105
af,20200824,0
af,20200825,71
af,20200826,1
af,20200827,55
af,20200828,3
af,20200829,11
ag,20200315,1
ag,20200321,0
ag,20200322,0
ag,20200323,0
ag,20200324,0
ag,20200325,2
ag,20200326,0
ag,20200327,4
ag,20200328,0
ag,20200329,0
ag,20200330,0
ag,20200331,0
ag,20200401,0
ag,20200402,0
ag,20200403,2
ag,20200404,6
ag,20200405,0
ag,20200406,0
ag,20200407,0
ag,20200408,0
ag,20200409,0
ag,20200410,4
ag,20200411,2
ag,20200412,0
ag,20200413,0
ag,20200414,2
ag,20200415,0
ag,20200416,0
ag,20200417,0
ag,20200418,0
ag,20200419,0
ag,20200420,0
ag,20200421,0
ag,20200422,1
ag,20200423,0
ag,20200424,0
ag,20200425,0
ag,20200426,0
ag,20200427,0
ag,20200428,0
ag,20200429,0
ag,20200430,0
ag,20200501,0
ag,20200502,1
ag,20200503,0
ag,20200504,0
ag,20200505,0
ag,20200506,0
