geo_id,day,deaths
ag,20200515,0
ag,20200516,0
ag,20200517,0
ag,20200518,0
ag,20200519,0
ag,20200520,0
ag,20200521,0
ag,20200522,0
ag,20200523,0
ag,20200524,0
ag,20200525,0
ag,20200526,0
ag,20200527,0
ag,20200528,0
ag,20200529,0
ag,20200530,0
ag,20200531,0
ag,20200601,0
ag,20200602,0
ag,20200603,0
ag,20200604,0
ai,20200327,0
ai,20200328,0
ai,20200329,0
ai,20200330,0
ai,20200331,0
ai,20200401,0
ai,20200402,0
ai,20200403,0
ai,20200404,0
ai,20200405,0
ai,20200406,0
ai,20200407,0
ai,20200408,0
ai,20200409,0
ai,20200410,0
ai,20200411,0
ai,20200412,0
ai,20200413,0
ai,20200414,0
ai,20200415,0
ai,20200416,0
ai,20200417,0
ai,20200418,0
ai,20200419,0
ai,20200420,0
ai,20200421,0
ai,20200422,0
ai,20200423,0
ai,20200424,0
ai,20200425,0
ai,20200426,0
ai,20200427,0
ai,20200428,0
ai,20200429,0
ai,20200430,0
ai,20200501,0
ai,20200502,0
ai,20200503,0
ai,20200504,0
ai,20200505,0
ai,20200506,0
ai,20200507,0
ai,20200508,0
ai,20200509,0
ai,20200510,0
ai,20200511,0
ai,20200512,0
ai,20200513,0
ai,20200514,0
ai,20200515,0
ai,20200516,0
ai,20200517,0
ai,20200518,0
ai,20200519,0
ai,20200520,0
ai,20200521,0
ai,20200522,0
ai,20200523,0
ai,20200524,0
ai,20200525,0
ai,20200526,0
ai,20200527,0
ai,20200528,0
ai,20200529,0
ai,20200530,0
ai,20200531,0
ai,20200601,0
ai,20200602,0
ai,20200603,0
ai,20200604,0
al,20200309,0
al,20200310,0
al,20200311,0
al,20200312,1
al,20200313,0
al,20200314,0
al,20200315,0
al,20200316,0
al,20200317,0
al,20200318,0
al,20200319,1
al,20200320,0
al,20200321,0
al,20200322,0
al,20200323,0
al,20200324,2
al,20200325,1
al,20200326,0
al,20200327,1
al,20200328,3
al,20200329,1
al,20200330,0
al,20200331,2
al,20200401,3
al,20200402,0
al,20200403,1
al,20200404,1
al,20200405,2
al,20200406,2
al,20200407,1
al,20200408,0
al,20200409,0
al,20200410,1
al,20200411,0
al,20200412,0
al,20200413,0
al,20200414,0
al,20200415,1
al,20200416,1
al,20200417,1
al,20200418,0
al,20200419,0
al,20200420,0
al,20200421,0
al,20200422,0
al,20200423,1
al,20200424,0
al,20200425,0
al,20200426,0
al,20200427,1
al,20200428,0
al,20200429,2
al,20200430,1
al,20200501,0
al,20200502,0
al,20200503,0
al,20200504,0
al,20200505,0
al,20200506,0
al,20200507,0
al,20200508,0
al,20200509,0
al,20200510,0
al,20200511,0
al,20200512,0
al,20200513,0
al,20200514,0
al,20200515,0
al,20200516,0
al,20200517,0
al,20200518,0
al,20200519,0
al,20200520,0
al,20200521,0
al,20200522,0
al,20200523,0
al,20200524,0
al,20200525,1
al,20200526,0
al,20200527,1
al,20200528,0
al,20200529,0
al,20200530,0
al,20200531,0
al,20200601,0
al,20200602,0
al,20200603,0
al,20200604,0
am,20191231,0
am,20200101,0
am,20200102,0
am,20200103,0
am,20200104,0
am,20200105,0
am,20200106,0
am,20200107,0
am,20200108,0
am,20200109,0
am,20200110,0
am,20200111,0
am,20200112,0
am,20200113,0
am,20200114,0
am,20200115,0
am,20200116,0
am,20200117,0
am,20200118,0
am,20200119,0
am,20200120,0
am,20200121,0
am,20200122,0
am,20200123,0
am,20200124,0
am,20200125,0
am,20200126,0
am,20200127,0
am,20200128,0
am,20200129,0
am,20200130,0
am,20200131,0
am,20200201,0
am,20200202,0
am,20200203,0
am,20200204,0
am,20200205,0
am,20200206,0
am,20200207,0
am,20200208,0
am,20200209,0
am,20200210,0
am,20200211,0
am,20200212,0
am,20200213,0
am,20200214,0
am,20200215,0
am,20200216,0
am,20200217,0
am,20200218,0
am,20200219,0
am,20200220,0
am,20200221,0
am,20200222,0
am,20200223,0
am,20200224,0
am,20200225,0
am,20200226,0
am,20200227,0
am,20200228,0
am,20200229,0
am,20200301,0
am,20200302,0
am,20200312,0
am,20200313,0
am,20200314,0
am,20200315,0
am,20200316,0
am,20200317,0
am,20200318,0
am,20200319,0
am,20200320,0
am,20200321,0
am,20200322,0
am,20200323,0
am,20200324,0
am,20200325,0
am,20200326,0
am,20200327,1
am,20200328,0
am,20200329,2
am,20200330,0
am,20200331,0
am,20200401,0
am,20200402,0
am,20200403,1
am,20200404,3
am,20200405,0
am,20200406,0
am,20200407,1
am,20200408,0
am,20200409,1
am,20200410,1
am,20200411,1
am,20200412,2
am,20200413,0
am,20200414,1
am,20200415,3
am,20200416,1
am,20200417,1
am,20200418,1
am,20200419,0
am,20200420,2
am,20200421,2
am,20200422,0
am,20200423,0
am,20200424,3
am,20200425,1
am,20200426,0
am,20200427,1
